classification,start_time,end_time,duration,f0_mean,f0_std,f0_max,f0_min,f0_reg_coef,f0_reg_coef_mse,f0_slope,mean_distances_f0,silence_before_duration,silence_after_duration,energy_reg,energy_reg_mse,energy_max,energy_mean,mean_coeff_0,mean_coeff_1,mean_coeff_2,mean_coeff_3,mean_coeff_4,mean_coeff_5,mean_coeff_6,mean_coeff_7,mean_coeff_8,mean_coeff_9,mean_coeff_10,mean_coeff_11,mean_coeff_12,std_coeff_0,std_coeff_1,std_coeff_2,std_coeff_3,std_coeff_4,std_coeff_5,std_coeff_6,std_coeff_7,std_coeff_8,std_coeff_9,std_coeff_10,std_coeff_11,std_coeff_12,stability_distance
NFP,15.86,16.36,0.5,194.1702302,13.71492461,202.4632734,185.8042693,-42.3712025,14.99356766,-45.46046962,2.155911189,0,0,0.023964418,0.000784729,0.508900227,0.145063528,643.9931286,159.314752,84.94058394,62.76318423,34.68002283,4.039756769,-28.36135363,-40.30339813,-29.28135186,-5.931198464,-4.350079379,6.965987277,-12.4187992,11.73393129,6.233628897,8.53404479,4.406556906,3.902611791,2.301769837,2.980040931,3.423440435,1.888604102,1.880776177,1.740573791,2.292385136,1.846067379,89.01859942
NFP,16.72,16.99,0.27,187.8453126,9.292701711,199.5545548,185.2863409,-36.80981324,19.34861964,-25.81189372,2.680949962,0.28,0.11,-0.311922832,0.000650767,0.28223356,0.087303722,527.9320881,135.2814168,135.8533803,86.12863254,46.00146942,16.33418257,-10.02049205,-11.83727012,-11.31004937,-1.084056567,-9.112380857,-9.171124801,-21.43407414,13.11783552,10.54477055,8.060412693,4.889092795,2.302760534,1.961795301,2.5917288,2.501686085,1.445243312,1.757914411,1.595492113,1.72130367,2.163204442,46.88266272
NFP,17.1,17.23,0.13,191.9383016,30.68062043,225.6590294,188.9453271,524.9274015,62.78010962,574.3476037,5.533463123,0.11,0.14,0.148046161,4.06E-05,0.146678005,0.043060477,688.2798376,165.0414385,85.69111953,113.280834,101.9589731,10.71869116,-85.56319988,-72.67713265,-30.61952003,-15.13604748,-17.84356014,-18.97252221,-20.03772212,7.425981106,3.16690996,3.526583252,3.301738258,2.480046249,3.243887915,4.748421317,5.448261564,2.360782774,1.75534946,2.750787232,1.967192774,2.057145674,35.30786538
NFP,17.37,17.87,0.5,187.2128649,8.893484062,195.6551596,182.3575791,-24.96310621,8.792994206,-43.23812478,1.193066145,0.14,0,-0.090069833,0.000645612,0.508900227,0.143197975,680.952562,203.9793015,91.19177316,3.08650239,-19.72311783,-12.90519622,-9.941881241,-12.18886164,-19.15793873,-3.375386052,3.642411178,8.511025751,-7.618611212,14.12517732,7.066697036,3.21805646,3.218953621,3.027218433,2.177359595,2.38229035,2.869853526,3.755377038,2.371663595,1.992266485,1.8753552,1.753230993,72.30923225
NFP,17.47,17.97,0.5,184.6964277,7.047029874,194.5062249,182.3575791,-19.74389455,12.74037212,-48.96742443,1.457391526,0,0,-0.034042906,0.000316167,0.508900227,0.138654361,654.021342,180.923804,77.83629457,2.080323606,-16.22134576,-8.044920957,-5.224905889,-6.393881987,-9.065191482,2.89574766,-2.318794543,6.681518176,-4.632676116,13.36080312,7.967222581,5.156595393,3.185311777,3.234524009,2.565681905,2.144123909,2.514809473,2.903424556,1.798313684,1.253105134,1.610813019,1.791923627,66.76827811
NFP,17.57,18.07,0.5,183.1966051,6.521682309,193.4243815,182.2060886,-11.06922768,10.68498323,-64.80970627,1.234882627,0,0,-0.055396409,0.000239406,0.508900227,0.139739344,654.6630633,187.9693887,88.19278143,12.08829748,-5.055772473,-0.355303566,-4.889734136,-6.838556159,-5.499646773,6.527862081,-2.708858768,5.27302704,-4.912746068,12.09377546,7.20616049,5.809389014,4.228327999,4.014392713,2.928190721,2.088264587,2.482900732,2.560818684,1.604984384,1.170443587,1.635896246,1.712656859,69.46304462
NFP,17.67,18.17,0.5,180.3444816,5.799947668,187.2420883,180.1849924,-5.810979295,3.777194137,-40.18252106,0.916483719,0,0,0.037857044,9.53E-05,0.508900227,0.138445486,628.2642915,171.9536008,95.33312804,36.77700137,10.35849024,2.273319123,-10.9291811,-17.63596099,-13.69507206,5.263369095,-1.267990095,6.789609895,-0.275855622,9.006650398,5.822571038,5.76282134,3.682889257,3.960060052,3.007417698,1.863588842,3.764865725,3.397027846,1.613290433,1.385957077,1.842928499,1.83363012,84.68786464
NFP,17.77,18.27,0.5,178.2953609,6.086704615,185.475261,175.965194,-11.28622074,4.299306153,-17.81071851,0.827898529,0,0,0.048133087,8.81E-05,0.508900227,0.13873555,620.9281744,162.3182968,93.4304672,50.77808151,33.42140169,15.45982737,-16.1691002,-35.23469684,-29.09009799,0.892412453,2.098566344,9.284731441,1.095252676,9.399431116,5.106201485,5.746639043,3.435460592,3.818877868,2.906988169,1.936010142,3.709223742,2.960730554,1.508730142,1.30349536,1.735786632,1.779295019,84.79328043
NFP,17.87,18.37,0.5,179.0458263,5.842333449,185.475261,175.965194,-2.071814996,8.562747582,3.27036619,0.893569343,0,0,0.034968949,9.50E-05,0.508900227,0.140470474,649.2205268,172.9580459,90.93260218,59.94969024,56.99238033,30.25333796,-26.13972893,-53.94803876,-35.94586068,0.209261902,4.941829181,8.141126439,0.427483142,8.583376606,4.607452907,5.431580398,3.240627661,2.828193321,1.784711059,2.751211425,3.656386535,2.233021148,1.440085046,1.430058307,1.726662888,1.589428625,68.70228417
NFP,17.97,18.47,0.5,179.7467787,5.049692448,185.9223295,175.965194,-0.232985105,9.187014834,0.984931905,0.870318937,0,0,-0.009801002,8.36E-05,0.508900227,0.141177385,661.7234509,185.2647894,102.3521889,69.40737818,66.57662123,34.15665404,-34.27137788,-68.75166748,-40.3771704,6.359867479,8.321521914,2.011939065,0.750702405,7.905508253,2.348370765,3.244379968,2.011129099,2.533845566,1.69143284,2.616641375,3.407672381,2.008601151,1.783784433,1.34688392,1.605323899,1.635650432,38.44808603
