classification,start_time,end_time,duration,f0_mean,f0_std,f0_max,f0_min,f0_reg_coef,f0_reg_coef_mse,f0_slope,mean_distances_f0,silence_before_duration,silence_after_duration,energy_reg,energy_reg_mse,energy_max,energy_mean,mean_coeff_0,mean_coeff_1,mean_coeff_2,mean_coeff_3,mean_coeff_4,mean_coeff_5,mean_coeff_6,mean_coeff_7,mean_coeff_8,mean_coeff_9,mean_coeff_10,mean_coeff_11,mean_coeff_12,std_coeff_0,std_coeff_1,std_coeff_2,std_coeff_3,std_coeff_4,std_coeff_5,std_coeff_6,std_coeff_7,std_coeff_8,std_coeff_9,std_coeff_10,std_coeff_11,std_coeff_12,stability_distance
NFP,16.78,17.28,0.5,103.5628167,3.153378614,106.2622496,103.2087761,0.053753833,0.997930211,-2.276942879,0.64812598,0,0,0.125035665,0.000234113,0.508900227,0.147032291,728.2915058,217.9572437,93.73281169,46.75755881,43.60273859,14.49840897,-12.45197721,5.720175314,5.563992489,-11.36255054,-15.32972334,3.377749523,-6.340418519,13.2672779,6.516368399,2.625674137,4.154912161,4.131439502,3.712270455,3.142635096,1.70819998,2.672555242,1.803575818,1.130023494,1.276247302,1.781296496,80.69422494
NFP,16.88,17.38,0.5,106.8836626,9.395991629,110.7536089,103.2087761,7.888991797,2.629321034,24.84038037,0.774348428,0,0,0.173630065,0.000331425,0.508900227,0.155789013,796.9854257,257.9375433,92.5840468,21.89666014,21.72629907,3.870437721,-17.59007029,3.065263678,5.86175933,-7.237589637,-14.12362373,5.552751572,-2.677881247,10.47568918,5.178669198,2.937083938,4.110245343,4.408949724,3.478683363,3.140212291,1.858173674,2.692036753,2.045673413,1.243906791,1.367431287,1.91195361,55.11491878
NFP,16.98,17.48,0.5,116.0927085,19.17520385,143.0955998,103.2576497,78.88720104,60.46244064,102.0172727,1.731023821,0,0,0.085900426,0.000956169,0.508900227,0.158725143,784.1006854,265.3691423,108.4973225,20.98418232,13.77909026,5.291479918,-13.56415214,1.485474876,2.482715383,-2.558445256,-7.448927023,9.090916408,0.23628412,11.74304171,5.022178014,4.035445045,3.977392449,3.823364078,3.474949353,2.898082148,2.065772264,2.705814692,1.939596873,1.51162754,1.640144101,2.133004118,46.94495251
NFP,17.48,17.98,0.5,153.6737912,17.30038146,167.9670715,113.8980696,-71.29349367,109.3051247,-209.6486245,3.733539654,0,0,0.006059345,3.41E-05,0.508900227,0.134627145,522.551325,131.4929392,122.7063046,68.06536846,40.324073,16.7530988,-17.17377851,-22.36523109,-19.18887029,-6.622547103,-7.495541719,7.257101848,5.972056268,8.396579169,5.517582507,3.379689597,2.595107494,2.819911959,2.00023163,2.710967161,2.670129892,1.848504656,1.453659082,1.2787987,1.256124523,1.287535749,49.32303007
NFP,17.58,18.08,0.5,141.9214151,25.50814007,165.9126398,106.6279654,-115.559159,142.9292469,-217.3726074,3.802988542,0,0,0.025038215,3.31E-05,0.508900227,0.135034347,520.1432377,126.0578332,119.548128,74.35001356,51.11205797,27.49739575,-9.725734757,-18.60741205,-13.28799723,-6.059691053,-8.831871601,5.557599365,3.127958641,8.83461882,5.128807813,3.426003062,2.860452952,3.051060367,2.082250892,2.683250385,2.772026659,1.818644503,1.444559402,1.351967306,1.299009672,1.399002664,56.97233427
NFP,17.68,18.18,0.5,132.7352711,27.50342854,165.9126398,105.4345639,-108.7976933,171.5091647,-201.6275559,3.850729184,0,0,0.115849443,0.000364135,0.508900227,0.13935852,539.528703,130.0236827,114.5090296,77.56717352,57.08855842,30.71240267,-7.567493338,-14.73065417,-8.912318382,-7.714535016,-10.36340503,4.596236622,0.528789789,11.77014058,6.241197538,3.755135303,2.827156045,2.921287116,1.937738137,2.724154607,2.824809675,1.867363793,1.835928181,1.727340633,1.254814112,1.332068483,52.19175018
NFP,17.78,18.28,0.5,125.7777088,27.11783124,165.9126398,105.4345639,-64.01798524,203.01814,-195.8352655,2.708357016,0,0,0.251020135,0.001771261,0.508900227,0.151094314,616.0526493,161.7443404,115.5182051,88.97914467,62.56836181,31.19478198,-12.35600548,-25.12896438,-17.10284933,-17.19625789,-15.45853911,4.358941228,-1.005788485,14.61729755,7.113811134,4.292301986,4.204266794,2.707939869,2.334263722,2.532447726,2.61636061,2.102835806,2.416454371,2.105519198,1.214474284,1.293232951,90.03905619
NFP,17.88,18.38,0.5,115.2492765,14.66710054,116.8557077,105.4345639,11.22067811,12.52318084,-51.30638197,1.355330855,0,0,0.200869417,0.002110814,0.508900227,0.157584596,694.3153917,188.6483689,115.8074975,101.0279174,56.54055233,20.10252652,-11.65925276,-20.14673071,-13.96595089,-19.04872484,-14.87350939,2.353164613,-5.419547984,14.18422901,7.06406715,4.38687657,5.183006726,3.734505936,3.852380184,2.777933607,2.992787433,2.553591476,2.388035837,2.119469434,1.371925767,1.485705016,88.30157205
NFP,17.98,18.48,0.5,108.558861,5.872720788,116.2551361,100.4386837,-10.87106481,24.30151606,-54.60430367,1.457210092,0,0,0.056442991,0.002684919,0.508900227,0.159771106,724.4221514,210.2853913,122.293629,89.0520746,32.99597436,4.348298539,-8.134581115,-7.788192489,-4.471266985,-14.95728444,-12.12437342,1.820595595,-10.69575078,12.96460968,7.575415681,4.508805404,5.761449391,4.60671518,4.452609365,2.331215066,2.815688129,3.088724256,2.82692903,2.34490601,1.278392942,1.585034791,88.83113972
NFP,18.74,18.86,0.12,152.1175445,18.52381013,175.0832908,154.1457267,-79.37396502,90.49327603,-292.6587788,10.14466085,0.16,0.99,-0.072513006,1.24E-05,0.136950113,0.036921546,523.8497188,146.6728146,148.1375057,72.40268258,20.7189636,5.94073884,-5.064448434,-2.558773197,-6.963288307,-0.227334508,-1.768064012,4.516278987,-10.1967558,14.05788054,10.50289045,6.12851052,3.624041189,2.793686111,3.067979789,3.154922903,2.300303432,2.938168263,2.057050343,2.503992718,2.419135005,2.241827741,53.50274693
