classification,duration,f0_mean,f0_std,f0_max,f0_min,f0_reg_coef,f0_reg_coef_mse,f0_slope,mean_distances_f0,silence_before_duration,silence_after_duration,energy_reg,energy_reg_mse,energy_max,energy_mean,mean_coeff_0,mean_coeff_1,mean_coeff_2,mean_coeff_3,mean_coeff_4,mean_coeff_5,mean_coeff_6,mean_coeff_7,mean_coeff_8,mean_coeff_9,mean_coeff_10,mean_coeff_11,mean_coeff_12,std_coeff_0,std_coeff_1,std_coeff_2,std_coeff_3,std_coeff_4,std_coeff_5,std_coeff_6,std_coeff_7,std_coeff_8,std_coeff_9,std_coeff_10,std_coeff_11,std_coeff_12,stability_distance
NFP,0.13,84.55079467,7.956424208,94.46691982,89.32070348,-41.40591752,2.463646583,-28.31351978,1.0894704179999999,0.11,0.17,-1.819000498,0.005040698,0.436651329,0.08261495599999999,898.8682423,298.3547401,103.5478179,42.80258038,-9.765696555,-54.43599994,-62.55281797,-33.42798859,14.38942503,25.26764274,-31.69408779,-25.06131067,12.47123731,24.06761015,13.70977522,7.95354189,3.7454667660000003,3.5113668089999996,3.4662115030000002,3.0407400730000003,2.597061603,3.120335328,3.126035709,2.675628406,2.6448679,3.63679626,46.20475013
NFP,0.16,80.72510732,6.198451795,87.74786749,84.10191583,-37.46531203,1.352067938,-49.64538832,1.129275733,1.24,0.3,-0.336189568,0.000144556,0.175566893,0.056935071,736.1096865000001,225.56599029999998,113.1131986,69.94369717,52.70743252,31.35050879,-13.58187309,-24.42713017,-24.89176435,-12.04771674,-20.62676316,-12.03051816,-6.7919831760000005,17.77219599,8.043844862,3.852646888,4.078252078,3.5377767810000003,4.863563842,2.04227003,2.9651564089999995,1.922886501,2.548046191,2.454164378,1.665093694,3.0634562069999998,49.95775478
NFP,0.21,89.44690389,4.627177339,94.76161772,92.09765533,-12.58205032,0.52405959,-3.610858403,0.5179950179999999,0.22,0.62,-0.745459958,0.0005124169999999999,0.224455782,0.087693429,743.507196,264.2650751,154.95974109999997,77.80050921,38.29612661,-5.742910956,-50.57181168,-50.54870202,-21.95738527,21.07817663,7.004152536,0.5127575679999999,-3.9264118810000004,19.60693021,10.43726631,6.564525512,3.839871432,2.7805255730000003,3.0515531069999997,4.761682897,2.4301868669999998,3.84923985,3.7364983339999998,2.043474215,1.8423971380000002,2.087360232,46.68061054
NFP,0.5,84.65444139,4.088942638,88.86956647,81.25236540000002,-14.93760338,3.279568027,-19.75163921,0.7141545020000001,0.0,0.0,0.08965774800000001,0.019494644,0.547376538,0.21257506199999998,848.9318027,253.332532,76.48525403,32.23812308,11.54691194,-2.809933048,-22.28758436,-21.15436151,-19.52321575,3.083021425,-5.029305438,-4.309955677,10.55281372,11.68452443,10.13561231,7.514092421,2.8822971219999998,3.77152627,3.05073405,2.1335146590000003,3.0606125630000003,3.2188182339999996,2.372274406,1.7333726090000001,1.7013659769999998,2.006912882,129.86641609999998
NFP,0.17,98.09377545,6.483269657,105.07626670000002,100.74202659999999,-3.030685402,2.604660805,-14.13470478,0.895018907,0.35,1.33,-0.730976615,0.001128123,0.206439966,0.065963008,790.5933751,203.7847621,33.86125942,105.08260349999999,122.41314740000001,40.05751369,-30.8591099,-45.80740476,-32.60620573,-3.3845042839999997,-20.86532267,-14.31912997,-8.067557864,22.28686388,9.037050542000001,7.1783399139999995,3.166177348,4.030387234,2.441501883,4.315391562,6.433281674,3.404315281,2.693997804,3.5586784,1.718708074,4.536721015,43.86744895
NFP,0.5,91.15244866,6.770306465,101.9012887,87.36796926,25.24464346,6.8717913379999995,-14.07251121,1.138785146,4.25,0.0,0.089103726,0.608883446,3.04520765,0.5164691220000001,898.0991284,313.62661769999994,107.5721585,48.28927141,11.99744421,-32.45717025,-47.51348037,-46.18331803,-28.42630181,14.24478472,-15.29716958,-14.75196463,16.18218661,17.34036382,7.777827161,6.575665766,3.5503332760000004,2.789941508,3.480952155,2.59343973,2.369136728,1.9689548590000001,2.672322734,1.612100615,2.421308891,2.662328146,205.0089293
NFP,0.5,88.07145029,4.091956702,93.52485017,84.32565453,8.878659955,7.840869387000001,-12.33711783,0.909827686,0.62,0.0,-0.39138426,0.089861581,1.196396568,0.33772953899999997,825.7190353,308.5515599,155.5654024,66.64117131,27.66453364,-31.66224845,-84.42356855,-64.03655189,-6.29874613,31.20744357,-12.20743109,-28.27436798,4.24752288,11.65974037,5.443415419,2.517388342,2.632325125,2.0769571019999997,3.006286865,4.063469217,2.2140929380000003,2.8047602719999998,3.010687842,1.535975579,1.862844804,1.3550889240000001,72.76183759999999
NFP,0.22,98.07903185,5.407735842999999,104.0702864,100.2848887,-21.15023537,0.819110131,-24.1478564,0.581418389,0.2,0.21,-0.830475834,0.00040307,0.233344671,0.097321685,777.2680644,253.2169406,92.72649263,33.563651799999995,87.27281778,92.58480404,-1.087421125,-59.35660262,-54.82304816,-32.0753473,-39.24081922,-12.14645611,16.07539119,22.02432227,11.49483392,3.5378306680000002,5.408891854,2.5966395159999998,3.416289465,3.0321331860000003,4.296789115,2.251826306,1.986645403,2.390118506,1.2156342759999998,3.8677513360000004,37.09292829
NFP,0.36,85.68127039,3.0678749,89.77132824,85.13592654,6.140395647,1.96728463,-0.656177775,0.6326887379999999,0.83,0.2,-0.051090394000000004,0.007920451,0.412206234,0.156690167,812.8783323,274.3044851,119.19972220000001,57.66176135,44.437033299999996,29.43465555,-0.661799653,-31.74122249,-36.43127757,-8.110325484,-6.1861623670000006,4.103755135,3.784083336,11.99933505,7.996898555,8.265081811,4.407258498,2.867825933,3.214074451,2.452474896,2.652892472,1.951221981,2.075699659,1.2510404309999998,1.388360246,2.348261609,50.14177699
NFP,0.15,84.8099761,7.883449324,93.52289615,90.65269188,13.20612236,1.4209333219999998,13.61100776,1.057919474,0.32,0.13,-0.626873979,0.00046130199999999997,0.166133787,0.060586985999999995,670.0487751000001,235.72651069999998,172.7996955,96.39869088,54.79657508,-9.218551637000001,-69.33815986,-61.9212512,-13.61738544,11.59508029,-15.08564281,-13.9771962,5.091012486,10.3641496,7.39467099,9.084104888999999,5.287867001,4.335854782,2.713707262,6.296834655,6.046604866,2.801384614,2.591732725,3.130369843,2.5801467999999996,3.3433963639999997,41.14731839
NFP,0.19,90.03458536,6.364760574,98.1404285,91.26773529,-59.01292514,0.991212214,-39.22362114,0.717225491,0.33,0.26,-4.625098306,0.020943562,1.128736529,0.225042379,1029.255525,342.7973878,46.42313969,4.803013188,27.95990902,24.86029533,-41.69181798,-78.01874555,-41.44493729,18.37972709,-6.722863058,4.307431893,19.82005514,22.06615159,13.07637666,9.159704431,6.962847996,5.9576191739999995,4.378683276,2.952048487,2.441996123,4.2498528769999995,4.236198573999999,1.534014271,2.156708398,2.94808749,53.581745
NFP,0.16,77.19197606,9.135135049,89.19896668,82.28169417,63.21482851,0.316773969,26.59184352,0.999230482,0.14,0.38,0.059468348,0.007735354,0.39053121799999996,0.081499825,852.5344697,295.579885,106.70718290000002,36.19997801,8.10618648,-19.53122918,-32.15900004,-33.75999258,-32.81712542,0.484792669,-26.41239521,-20.96171886,21.5630423,20.35092012,7.834127702000001,5.890435045,3.883593981,3.708760713,4.822013758,3.3479667760000003,5.261671236000001,3.940627094,4.059654337,2.411515989,2.609445028,3.600838436,45.23973083
NFP,0.5,88.78677111,5.830630267,94.97724978,86.22969289,13.44910706,3.362331713,17.91128325,0.634330104,0.0,0.0,-0.373312265,0.072659936,1.15508838,0.313340093,841.4737641,269.4530815,116.9281844,100.216146,58.45190949,-1.9716030569999998,-44.25175969,-40.75421126,-30.32404809,-11.52666524,-11.04297678,-2.068957712,2.698480083,9.846242669,8.280783454,7.612146505,4.490673496,3.5193893760000003,4.87051797,3.9378750869999997,3.745875115,3.0830406389999996,2.9049187969999997,1.75760543,1.636927838,1.712308956,57.704657700000006
NFP,0.5,93.58891368,6.674099481,101.9012887,87.36796926,30.90475081,4.394029358,-6.687639272999999,1.05674806,0.0,0.0,0.8136074590000001,0.668428104,3.066525265,0.592951393,877.5956755000001,313.4309472,131.80554109999997,63.58801826,12.53735952,-37.10068485,-48.24653234,-49.63238197,-35.914123700000005,15.98486463,-11.75493031,-26.725760100000002,5.054382587,15.66349905,7.649321873,6.432794417999999,3.390331668,2.9301059389999997,3.4285218360000003,3.0886572869999998,2.648328429,1.928599151,2.9972788360000004,1.918993806,3.113578148,2.861856932,81.73220762
NFP,0.18,88.77139627,6.544511619,94.25495325,91.19457283,-8.788507111,1.202583303,-5.735483842000001,1.0274094740000002,0.13,0.45,-0.21707753100000002,0.00010415399999999999,0.19556689300000002,0.062189727,687.7417622,241.7957653,147.5962704,46.33547464,45.51664186,57.93891835,26.16453959,-19.62640704,-52.37875709,-42.41083357,-28.29857166,-6.489954856000001,-3.51807134,10.24707525,4.248966653,2.8931934310000003,2.036009552,3.7349683860000003,2.9550747289999997,2.557840363,2.623778556,2.254416857,2.5474420859999998,2.503373385,2.07442901,1.667764964,37.38988976
